XSC,XTE,XSL,XPH,XHE,XAG,XEN,XCI,XAD,XDR,YEA,CO2_LOW,CO2,CO2_HIGH,CO2_CE,N2O_LOW,N2O,N2O_HIGH,N2O_CE,CH4_LOW,CH4,CH4_HIGH,CH4_CE,POP_LOW,POP,POP_HIGH,GDP_LOW,GDP,GDP_HIGH,EMI_LOW,EMI,EMI_HIGH,NOE_LOW,NOE,NOE_HIGH,MEM_LOW,MEM,MEM_HIGH,TEM_LOW,TEM,TEM_HIGH,SEA_LOW,SEA,SEA_HIGH,OPH_LOW,OPH,OPH_HIGH,CON_LOW,CON,CON_HIGH,DAC_LOW,DAC,DAC_HIGH,DAN_LOW,DAN,DAN_HIGH,DAM_LOW,DAM,DAM_HIGH
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2020/01/01,1.6332040533369032,152.26576648074897,474.33056133706975,151.83831214294946,1437.4100981781078,43061.381687299276,133966.52295051044,42864.477594697026,42.996803566398704,1590.3613123693235,4653.102478380701,1585.6970081249738,7.752698916000002,7.752698916000002,7.752698916000002,,,,40.63829392333337,40.63829392333337,40.63829392333337,7.205451799,7.205451799,7.205451799,388.0905727,388.0905727,388.0905727,1.0054382430761906,1.2907815300250145,1.5601962756265773,13.59928995707751,26.812549592153,38.753789424615135,8.022791543162459,8.02405682446518,8.025206871475998,411.30694620260897,412.7954838422043,414.4565687544357,0,0,0,-18.58719126356552,9.372542025453024,46.13723570827303,-7.6093592697767125,3.900726654169916,18.951956906255703
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2020/01/01,0.6409978338882882,58.873360670876224,185.30211212704825,58.7389645459992,681.5387752991509,19388.108855405753,59587.391281536446,19303.612030588498,30.08207809025999,1081.8482893197022,2937.8758123425205,1078.7471395110103,7.752698916000002,7.752698916000002,7.752698916000002,,,,40.63829392333337,40.63829392333337,40.63829392333337,7.205451799,7.205451799,7.205451799,388.0905727,388.0905727,388.0905727,1.0054382430761906,1.2907815300250145,1.5601962756265773,13.59928995707751,26.812549592153,38.753789424615135,8.022791543162459,8.02405682446518,8.025206871475998,411.30694620260897,412.7954838422043,414.4565687544357,0,0,0,-18.58719126356552,9.372542025453024,46.13723570827303,-7.6093592697767125,3.900726654169916,18.951956906255703
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2030/01/01,3.0257510713826936,184.6019291053865,590.015030849535,179.18508910791718,394.9930249933077,52691.327009613,166613.28969465874,51001.712452664295,35.42172648302218,2149.1802908611503,6315.733298642781,2064.40378847938,8.43311678923646,8.512909342250262,8.60234047163121,-0.016981303494054467,0.015608998222018222,0.04813592257233819,35.242688880432766,41.65979811273198,47.15532887626843,6.9100742802489545,7.550951522251125,8.828676801663821,338.3482189998031,389.0114012882113,456.53561471104604,1.158808842785681,1.498270889881435,1.89797092176578,18.32299167797783,31.779985221518103,43.96057754595185,7.997384859148011,8.001143598579182,8.004693089119131,434.6517365912599,439.2837644194862,444.2592883078266,-0.7112378052840448,0.5057530047737038,2.3584984727136873,-289.4919524092904,205.9175921557814,953.4019134953438,-64.34559136458991,46.08524035482435,222.31248967434234
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2030/01/01,1.1563476487889843,75.45215537069627,250.34170322114622,73.04636920952886,158.7729190187704,24814.87017200965,79014.94473261153,23980.996979811283,25.40712554761705,1513.9578731874765,4187.12571869289,1443.3863381043407,8.43311678923646,8.512909342250262,8.60234047163121,-0.016981303494054467,0.015608998222018222,0.04813592257233819,35.242688880432766,41.65979811273198,47.15532887626843,6.9100742802489545,7.550951522251125,8.828676801663821,338.3482189998031,389.0114012882113,456.53561471104604,1.158808842785681,1.498270889881435,1.89797092176578,18.32299167797783,31.779985221518103,43.96057754595185,7.997384859148011,8.001143598579182,8.004693089119131,434.6517365912599,439.2837644194862,444.2592883078266,-0.7112378052840448,0.5057530047737038,2.3584984727136873,-289.4919524092904,205.9175921557814,953.4019134953438,-64.34559136458991,46.08524035482435,222.31248967434234
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2040/01/01,0.21199756433791275,216.4379577120175,696.6584519987397,201.98501283244264,304.8337812353129,65405.60998479135,210817.63571671137,60855.4858628609,82.34907861552809,2850.859543431396,8548.549113771449,2634.2868829195777,8.96706208245691,9.160312335468896,9.365185664167171,-0.008897078385294077,0.015292538149068946,0.04357918914616099,19.29597506199845,38.56769495389314,54.615991177117735,5.728400311141739,7.672628126048949,11.619552131998342,218.3848325997592,371.3280374854804,577.7546824499959,1.2879318785302045,1.689907996581188,2.2027902949344815,23.574083227372736,37.42301979038537,51.01743988877703,7.970455638400921,7.980801599251922,7.991605555979658,448.897343457493,463.8913731214131,478.48160536710543,-0.5460176619621825,1.0087015560616366,3.7741975817436177,-244.58505446756666,425.6966793073615,1640.7235686054523,-23.248876910673147,43.62159612748373,184.29227111018895
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2040/01/01,0.17494168745406505,92.02285252401607,292.8401144958712,85.74924969583587,180.1877484257798,31878.24209194514,100042.14065904138,29577.376029396244,64.8262420074744,2048.694357805805,5793.721561556146,1867.222661815347,8.96706208245691,9.160312335468896,9.365185664167171,-0.008897078385294077,0.015292538149068946,0.04357918914616099,19.29597506199845,38.56769495389314,54.615991177117735,5.728400311141739,7.672628126048949,11.619552131998342,218.3848325997592,371.3280374854804,577.7546824499959,1.2879318785302045,1.689907996581188,2.2027902949344815,23.574083227372736,37.42301979038537,51.01743988877703,7.970455638400921,7.980801599251922,7.991605555979658,448.897343457493,463.8913731214131,478.48160536710543,-0.5460176619621825,1.0087015560616366,3.7741975817436177,-244.58505446756666,425.6966793073615,1640.7235686054523,-23.248876910673147,43.62159612748373,184.29227111018895
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2050/01/01,0.21197390458385892,262.668848548475,871.0264557730624,233.51875737738587,860.1821558564122,81797.63809745286,269379.4403092664,71856.69743312728,66.68937746336869,3776.7106517929715,11791.307122442813,3277.2399666354295,9.347662171214822,9.694152416250253,10.02664021554111,-0.006966159604511191,0.015363097581907681,0.03994266832225302,6.048044025177752,34.70260469009077,60.40991411855929,4.712004354189428,7.693134339225915,13.95476485264116,123.67888482513767,355.9546666131435,677.156647880301,1.3866940573113102,1.878654562428237,2.5479433269660112,29.29267129111393,43.9650869682473,65.09642640870092,7.940497782514743,7.963769330254319,7.990214305140466,449.53347377673913,485.4442204314223,519.3767611643202,-0.2592801211454394,1.5930073099066355,4.893687498979964,-125.41311817892243,681.1173286506325,2222.3194296564857,-4.714765154623651,33.5314498533522,119.72917102136111
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2050/01/01,0.10767621959186344,117.01404157255163,373.0647199912894,103.03674205419033,443.49376115033084,41011.23172604196,133611.8910419417,35771.681141037145,50.088215448964,2776.917040032116,8105.647046887868,2353.9105192697557,9.347662171214822,9.694152416250253,10.02664021554111,-0.006966159604511191,0.015363097581907681,0.03994266832225302,6.048044025177752,34.70260469009077,60.40991411855929,4.712004354189428,7.693134339225915,13.95476485264116,123.67888482513767,355.9546666131435,677.156647880301,1.3866940573113102,1.878654562428237,2.5479433269660112,29.29267129111393,43.9650869682473,65.09642640870092,7.940497782514743,7.963769330254319,7.990214305140466,449.53347377673913,485.4442204314223,519.3767611643202,-0.2592801211454394,1.5930073099066355,4.893687498979964,-125.41311817892243,681.1173286506325,2222.3194296564857,-4.714765154623651,33.5314498533522,119.72917102136111
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2060/01/01,-0.68786306865804,318.75766982499164,1148.208197047573,260.8750205781563,861.7932993360216,100652.00351800503,356400.14649534377,80711.19612336093,77.85167191200215,4959.960061423925,16625.901314408296,3921.342509812389,9.584049273493642,10.123528008984499,10.640678822455124,-0.005217064016284634,0.015494106009454556,0.03754357386588884,-0.3161997277300657,31.157977835522026,64.6858249963465,4.1775012206373505,7.651189007330685,15.33992720580716,82.85899594482036,349.33826324110845,732.3896766992273,1.4205359214614601,2.029999574085275,2.8725073779535584,35.05452223285104,51.47175826222756,84.62486156911736,7.909558858431285,7.949616035825303,7.9946824005776405,443.7863597956118,504.2124093433063,565.1185157901828,-0.011586691152343901,2.0216274679491417,6.837242558466887,-12.660124557352294,858.0382976377257,3036.4096088562637,0.24220858609486326,23.51038114443164,93.67278611156856
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2060/01/01,-0.33700289861416943,148.96740700804594,520.9524643019355,118.98701327703014,439.96972274912434,52814.72113085268,179238.47540772284,41020.92320040789,63.33844068515268,3730.877505507554,11976.79082054478,2825.420706975522,9.584049273493642,10.123528008984499,10.640678822455124,-0.005217064016284634,0.015494106009454556,0.03754357386588884,-0.3161997277300657,31.157977835522026,64.6858249963465,4.1775012206373505,7.651189007330685,15.33992720580716,82.85899594482036,349.33826324110845,732.3896766992273,1.4205359214614601,2.029999574085275,2.8725073779535584,35.05452223285104,51.47175826222756,84.62486156911736,7.909558858431285,7.949616035825303,7.9946824005776405,443.7863597956118,504.2124093433063,565.1185157901828,-0.011586691152343901,2.0216274679491417,6.837242558466887,-12.660124557352294,858.0382976377257,3036.4096088562637,0.24220858609486326,23.51038114443164,93.67278611156856
